Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,Total_Active_Patients,Rd [Reproduction Rate],Reproduction_Rate
30-Jan,1,1,0,0,0,0,1,2,UNSAFE
31-Jan,0,1,0,0,0,0,1,2,UNSAFE
01-Feb,0,1,0,0,0,0,1,2,UNSAFE
02-Feb,1,2,0,0,0,0,2,0.5,UNSAFE
03-Feb,1,3,0,0,0,0,3,0,SAFE
04-Feb,0,3,0,0,0,0,3,0,SAFE
05-Feb,0,3,0,0,0,0,3,0,SAFE
06-Feb,0,3,0,0,0,0,3,0,SAFE
07-Feb,0,3,0,0,0,0,3,0,SAFE
08-Feb,0,3,0,0,0,0,3,0,SAFE
09-Feb,0,3,0,0,0,0,3,0,SAFE
10-Feb,0,3,0,0,0,0,3,0,SAFE
11-Feb,0,3,0,0,0,0,3,0,SAFE
12-Feb,0,3,0,0,0,0,3,0,SAFE
13-Feb,0,3,1,1,0,0,2,0,SAFE
14-Feb,0,3,0,1,0,0,2,0,SAFE
15-Feb,0,3,0,1,0,0,2,0,SAFE
16-Feb,0,3,1,2,0,0,1,0,SAFE
17-Feb,0,3,0,2,0,0,1,0,SAFE
18-Feb,0,3,0,2,0,0,1,0,SAFE
19-Feb,0,3,0,2,0,0,1,0,SAFE
20-Feb,0,3,1,3,0,0,0,0,SAFE
21-Feb,0,3,0,3,0,0,0,0,SAFE
22-Feb,0,3,0,3,0,0,0,0,SAFE
23-Feb,0,3,0,3,0,0,0,0,SAFE
24-Feb,0,3,0,3,0,0,0,0,SAFE
25-Feb,0,3,0,3,0,0,0,0,SAFE
26-Feb,0,3,0,3,0,0,0,0,SAFE
27-Feb,0,3,0,3,0,0,0,0,SAFE
28-Feb,0,3,0,3,0,0,0,0,SAFE
29-Feb,0,3,0,3,0,0,0,0,SAFE
01-Mar,0,3,0,3,0,0,0,0,SAFE
02-Mar,2,5,0,3,0,0,2,14.5,UNSAFE
03-Mar,1,6,0,3,0,0,3,11,UNSAFE
04-Mar,22,28,0,3,0,0,25,0.8,UNSAFE
05-Mar,2,30,0,3,0,0,27,1.222222222,UNSAFE
06-Mar,1,31,0,3,0,0,28,1.428571429,UNSAFE
07-Mar,3,34,0,3,0,0,31,1.516129032,UNSAFE
08-Mar,5,39,0,3,0,0,36,1.444444444,UNSAFE
09-Mar,9,48,0,3,0,0,45,1.2,UNSAFE
10-Mar,15,63,1,4,0,0,59,0.830508475,UNSAFE
11-Mar,8,71,0,4,0,0,67,0.820895522,UNSAFE
12-Mar,10,81,0,4,1,1,76,0.855263158,UNSAFE
13-Mar,10,91,6,10,0,1,80,1,UNSAFE
14-Mar,11,102,0,10,1,2,90,1.066666667,UNSAFE
15-Mar,10,112,3,13,0,2,97,1.484536082,UNSAFE
16-Mar,14,126,1,14,0,2,110,1.890909091,UNSAFE
17-Mar,20,146,1,15,1,3,128,2.0078125,UNSAFE
